"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"results\temp_netlogo_experiments\Exp5a_Baseline.nlogo"
"Exp5a_Baseline"
"04/20/2026 17:09:23:093 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","social-type-mode","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","throughput-total","mean-exit-time","mean [effective-speed] of turtles","phi-max","phi-stabilization-tick"
"5","200","none","2","1","1","10","1000","0","92","382.3666666666667","0.6242699999999997","1","0"
"2","200","none","2","1","1","10","1000","0","77","403.9864864864865","0.6284249999999999","1","0"
"4","200","none","2","1","1","10","1000","0","74","417.05555555555554","0.6302499999999999","1","0"
"3","200","none","2","1","1","10","1000","0","76","391.08","0.6419399999999998","1","0"
"1","200","none","2","1","1","10","1000","0","89","406.6235294117647","0.6126949999999997","1","0"
