Profilo,Throughput Totale,Mean Exit Time,Effective Speed,Phi Max
Baseline,81.6,400.2224476240946,0.6275159999999997,1.0
Aggressive,79.4,391.1318975705269,0.6376329999999998,1.0
Prudent,75.2,367.76323553695835,0.6432079999999998,1.0
Imitator,77.2,411.1804984408459,0.6369449999999997,1.0
