"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"results\temp_netlogo_experiments\Exp5d_Imitator.nlogo"
"Exp5d_Imitator"
"04/20/2026 17:10:53:149 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","social-type-mode","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","throughput-total","mean-exit-time","mean [effective-speed] of turtles","phi-max","phi-stabilization-tick"
"3","200","all-imitator","2","1","1","10","1000","0","81","467.30263157894734","0.6170699999999999","1","0"
"4","200","all-imitator","2","1","1","10","1000","0","84","415.8024691358025","0.6163149999999995","1","0"
"1","200","all-imitator","2","1","1","10","1000","0","79","337.3376623376623","0.6653250000000002","1","0"
"2","200","all-imitator","2","1","1","10","1000","0","75","425.8695652173913","0.6342349999999997","1","0"
"5","200","all-imitator","2","1","1","10","1000","0","67","409.59016393442624","0.6517799999999994","1","0"
