"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"results\temp_netlogo_experiments\Exp5c_Prudent.nlogo"
"Exp5c_Prudent"
"04/20/2026 17:10:34:238 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","social-type-mode","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","throughput-total","mean-exit-time","mean [effective-speed] of turtles","phi-max","phi-stabilization-tick"
"1","200","all-prudent","2","1","1","10","1000","0","59","394.7090909090909","0.6579999999999996","1","0"
"5","200","all-prudent","2","1","1","10","1000","1","77","432.5890410958904","0.6277049999999995","1","0"
"3","200","all-prudent","2","1","1","10","1000","0","80","348.78205128205127","0.6303699999999999","1","0"
"4","200","all-prudent","2","1","1","10","1000","0","87","311.8095238095238","0.6473449999999998","1","0"
"2","200","all-prudent","2","1","1","10","1000","0","73","350.9264705882353","0.6526199999999999","1","0"
