"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"results\temp_netlogo_experiments\Exp5b_Aggressive.nlogo"
"Exp5b_Aggressive"
"04/20/2026 17:09:42:178 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","social-type-mode","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","throughput-total","mean-exit-time","mean [effective-speed] of turtles","phi-max","phi-stabilization-tick"
"1","200","all-aggressive","2","1","1","10","1000","0","86","365.7317073170732","0.6499349999999997","1","0"
"2","200","all-aggressive","2","1","1","10","1000","0","81","396.4074074074074","0.6208049999999996","1","0"
"5","200","all-aggressive","2","1","1","10","1000","0","76","399.05555555555554","0.6403449999999996","1","0"
"3","200","all-aggressive","2","1","1","10","1000","0","84","397.126582278481","0.6321249999999999","1","0"
"4","200","all-aggressive","2","1","1","10","1000","1","70","397.3382352941176","0.6449549999999998","1","0"
